iter	Passed	Remaining
0	8	8591
1	16	8340
2	23	7843
3	28	7077
4	33	6759
5	39	6504
6	51	7254
7	58	7226
8	62	6839
9	68	6773
10	73	6616
11	78	6458
12	83	6366
13	88	6229
14	92	6076
15	96	5942
16	101	5858
17	105	5762
18	110	5682
19	114	5609
20	118	5523
21	122	5445
22	126	5389
23	130	5322
24	140	5475
25	144	5413
26	148	5345
27	152	5302
28	157	5285
29	162	5240
30	165	5177
31	169	5130
32	173	5084
33	177	5044
34	181	5000
35	184	4953
36	188	4919
37	195	4936
38	199	4905
39	202	4869
40	206	4832
41	209	4787
42	213	4762
43	217	4736
44	222	4724
45	226	4705
46	230	4683
47	234	4651
48	238	4624
49	241	4590
50	245	4562
51	249	4550
52	254	4547
53	258	4526
54	261	4501
55	265	4483
56	269	4460
57	273	4442
58	277	4423
59	281	4405
60	285	4397
61	289	4374
62	293	4362
63	297	4346
64	301	4331
65	304	4314
66	308	4296
67	312	4289
68	317	4288
69	322	4281
70	325	4263
71	329	4250
72	333	4232
73	337	4220
74	341	4206
75	344	4193
76	348	4181
77	352	4169
78	356	4154
79	360	4145
80	363	4127
81	367	4114
82	371	4103
83	375	4096
84	379	4088
85	383	4075
86	387	4064
87	391	4056
88	395	4049
89	400	4046
90	404	4037
91	407	4026
92	411	4017
93	415	4008
94	420	4003
95	424	3995
96	428	3989
97	432	3982
98	436	3974
99	442	3978
100	445	3966
101	450	3962
102	455	3962
103	459	3961
104	463	3949
105	467	3941
106	471	3933
107	475	3926
108	478	3913
109	482	3904
110	487	3901
111	491	3895
112	494	3885
113	498	3876
114	502	3868
115	507	3864
116	511	3863
117	515	3855
118	520	3851
119	524	3843
120	528	3836
121	532	3829
122	536	3824
123	540	3815
124	546	3826
125	550	3816
126	553	3808
127	557	3800
128	561	3793
129	566	3794
130	571	3789
131	574	3780
132	579	3774
133	582	3764
134	585	3754
135	589	3746
136	593	3740
137	597	3734
138	601	3726
139	605	3721
140	609	3715
141	613	3705
142	617	3699
143	620	3690
144	626	3691
145	630	3687
146	634	3683
147	638	3676
148	643	3675
149	647	3669
150	652	3666
151	656	3661
152	661	3661
153	666	3659
154	670	3655
155	674	3650
156	680	3652
157	684	3649
158	689	3646
159	694	3647
160	698	3640
161	702	3634
162	706	3626
163	710	3621
164	714	3616
165	718	3608
166	722	3603
167	726	3597
168	730	3592
169	734	3583
170	738	3578
171	742	3572
172	746	3570
173	750	3564
174	755	3561
175	759	3554
176	762	3546
177	767	3543
178	771	3538
